date,open,high,low,close,volume
2019-03-01T00:27:00.000Z,3793.5,3795,3793,3795,1848357
2019-03-01T00:42:00.000Z,3795,3795.5,3794.5,3795.5,1305487
2019-03-01T00:57:00.000Z,3795,3795.5,3794.5,3794.5,2172183
2019-03-01T01:12:00.000Z,3794.5,3795,3792.5,3792.5,2144015
2019-03-01T01:27:00.000Z,3793,3793,3791,3791,2033650
2019-03-01T01:42:00.000Z,3791.5,3799,3791,3799,6836960
2019-03-01T01:57:00.000Z,3797.5,3802.5,3797.5,3801.5,5185490
2019-03-01T02:12:00.000Z,3802,3803,3800,3800,5752339
2019-03-01T02:27:00.000Z,3800.5,3800.5,3799,3799,3013832
2019-03-01T02:42:00.000Z,3799.5,3800,3798.5,3800,2197825
2019-03-01T02:57:00.000Z,3800,3800,3798.5,3799,986038
2019-03-01T03:12:00.000Z,3799,3799,3798.5,3798.5,543907
2019-03-01T03:27:00.000Z,3798.5,3803.5,3798.5,3803.5,2491446
2019-03-01T03:42:00.000Z,3803.5,3806,3803,3804,4675893
2019-03-01T03:57:00.000Z,3804,3804.5,3801.5,3801.5,1645254
2019-03-01T04:12:00.000Z,3801.5,3802,3800,3800.5,2642508
2019-03-01T04:27:00.000Z,3800.5,3801,3800,3800.5,1374786
2019-03-01T04:42:00.000Z,3800.5,3800.5,3798,3798.5,1927366
2019-03-01T04:57:00.000Z,3798,3798.5,3798,3798,1218747
2019-03-01T05:11:00.000Z,3798,3798.5,3798,3798,717343
2019-03-01T05:26:00.000Z,3798,3798.5,3798,3798.5,1946927
2019-03-01T05:41:00.000Z,3798.5,3799.5,3798,3799,4678072
2019-03-01T05:56:00.000Z,3799.5,3799.5,3799,3799.5,972603
2019-03-01T06:11:00.000Z,3799,3799.5,3797,3797.5,3043760
2019-03-01T06:26:00.000Z,3797.5,3799.5,3797,3799.5,2458746
2019-03-01T06:41:00.000Z,3798.5,3799.5,3798.5,3799,975371
2019-03-01T06:56:00.000Z,3799,3799.5,3799,3799,433427
2019-03-01T07:11:00.000Z,3799.5,3799.5,3798.5,3798.5,2385384
